Date,Price
01.02.2024,78,7
31.01.2024,81,71
30.01.2024,82,87
29.01.2024,82,4
26.01.2024,83,55
25.01.2024,82,43
24.01.2024,80,04
23.01.2024,79,55
22.01.2024,80,06
19.01.2024,78,56
18.01.2024,79,1
17.01.2024,77,88
16.01.2024,78,29
15.01.2024,78,15
12.01.2024,78,29
11.01.2024,77,41
10.01.2024,76,8
09.01.2024,77,59
08.01.2024,76,12
05.01.2024,78,76
04.01.2024,77,59
03.01.2024,78,25
02.01.2024,75,89
29.12.2023,77,04
28.12.2023,78,39
27.12.2023,79,65
26.12.2023,81,07
22.12.2023,79,07
21.12.2023,79,39
20.12.2023,79,7
19.12.2023,79,23
18.12.2023,77,95
15.12.2023,76,55
14.12.2023,76,61
13.12.2023,74,26
12.12.2023,73,24
11.12.2023,76,03
08.12.2023,75,84
07.12.2023,74,05
06.12.2023,74,3
05.12.2023,77,2
04.12.2023,78,03
01.12.2023,78,88
30.11.2023,82,83
29.11.2023,83,1
28.11.2023,81,68
27.11.2023,79,98
24.11.2023,80,58
23.11.2023,81,42
22.11.2023,81,96
21.11.2023,82,45
20.11.2023,82,32
17.11.2023,80,61
16.11.2023,77,42
15.11.2023,81,18
14.11.2023,82,47
13.11.2023,82,52
10.11.2023,81,43
09.11.2023,80,01
08.11.2023,79,54
07.11.2023,81,61
06.11.2023,85,18
03.11.2023,84,89
02.11.2023,86,85
01.11.2023,84,63
31.10.2023,87,41
30.10.2023,87,45
27.10.2023,90,48
26.10.2023,87,93
25.10.2023,90,13
24.10.2023,88,07
23.10.2023,89,83
20.10.2023,92,16
19.10.2023,92,38
18.10.2023,91,5
17.10.2023,89,9
16.10.2023,89,65
13.10.2023,90,89
12.10.2023,86
11.10.2023,85,82
10.10.2023,87,65
09.10.2023,88,15
06.10.2023,84,58
05.10.2023,84,07
04.10.2023,85,81
03.10.2023,90,92
02.10.2023,90,71
29.09.2023,95,31
28.09.2023,95,38
27.09.2023,96,55
26.09.2023,93,96
25.09.2023,93,29
22.09.2023,93,27
21.09.2023,93,3
20.09.2023,93,53
19.09.2023,94,34
18.09.2023,94,43
15.09.2023,93,93
14.09.2023,93,7
13.09.2023,91,88
12.09.2023,92,06
11.09.2023,90,64
08.09.2023,90,65
07.09.2023,89,92
06.09.2023,90,6
05.09.2023,90,04
04.09.2023,89
01.09.2023,88,55
31.08.2023,86,86
30.08.2023,85,86
29.08.2023,85,49
28.08.2023,84,42
25.08.2023,84,48
24.08.2023,83,36
23.08.2023,83,21
22.08.2023,84,03
21.08.2023,84,46
18.08.2023,84,8
17.08.2023,84,12
16.08.2023,83,45
15.08.2023,84,89
14.08.2023,86,21
11.08.2023,86,81
10.08.2023,86,4
09.08.2023,87,55
08.08.2023,86,17
07.08.2023,85,34
04.08.2023,86,24
03.08.2023,85,14
02.08.2023,83,2
01.08.2023,84,91
31.07.2023,85,56
28.07.2023,84,99
27.07.2023,84,24
26.07.2023,82,92
25.07.2023,83,64
24.07.2023,82,74
21.07.2023,81,07
20.07.2023,79,64
19.07.2023,79,46
18.07.2023,79,63
17.07.2023,78,5
14.07.2023,79,87
13.07.2023,81,36
12.07.2023,80,11
11.07.2023,79,4
10.07.2023,77,69
07.07.2023,78,47
06.07.2023,76,52
05.07.2023,76,65
04.07.2023,76,25
03.07.2023,74,65
30.06.2023,74,9
29.06.2023,74,34
28.06.2023,74,03
27.06.2023,72,26
26.06.2023,74,18
23.06.2023,73,85
22.06.2023,74,14
21.06.2023,77,12
20.06.2023,75,9
19.06.2023,76,09
16.06.2023,76,61
15.06.2023,75,67
14.06.2023,73,2
13.06.2023,74,29
12.06.2023,71,84
09.06.2023,74,79
08.06.2023,75,96
07.06.2023,76,95
06.06.2023,76,29
05.06.2023,76,71
02.06.2023,76,13
01.06.2023,74,28
31.05.2023,72,66
30.05.2023,73,54
29.05.2023,77,07
26.05.2023,76,95
25.05.2023,76,26
24.05.2023,78,36
23.05.2023,76,84
22.05.2023,75,99
19.05.2023,75,58
18.05.2023,75,86
17.05.2023,76,96
16.05.2023,74,91
15.05.2023,75,23
12.05.2023,74,17
11.05.2023,74,98
10.05.2023,76,41
09.05.2023,77,44
08.05.2023,77,01
05.05.2023,75,3
04.05.2023,72,5
03.05.2023,72,33
02.05.2023,75,32
01.05.2023,79,31
28.04.2023,79,54
27.04.2023,78,37
26.04.2023,77,69
25.04.2023,80,77
24.04.2023,82,73
21.04.2023,81,66
20.04.2023,81,1
19.04.2023,83,12
18.04.2023,84,77
17.04.2023,84,76
14.04.2023,86,31
13.04.2023,86,09
12.04.2023,87,33
11.04.2023,85,61
10.04.2023,84,18
06.04.2023,85,12
05.04.2023,84,99
04.04.2023,84,94
03.04.2023,84,93
31.03.2023,79,77
30.03.2023,79,27
29.03.2023,78,28
28.03.2023,78,65
27.03.2023,78,12
24.03.2023,74,99
23.03.2023,75,91
22.03.2023,76,38
21.03.2023,75,03
20.03.2023,73,54
17.03.2023,72,77
16.03.2023,74,29
15.03.2023,73,28
14.03.2023,77,45
13.03.2023,80,77
10.03.2023,82,78
09.03.2023,81,59
08.03.2023,82,66
07.03.2023,83,29
06.03.2023,86,18
03.03.2023,85,83
02.03.2023,84,75
01.03.2023,84,31
28.02.2023,83,89
27.02.2023,82,45
24.02.2023,82,82
23.02.2023,81,95
22.02.2023,80,45
21.02.2023,83,05
20.02.2023,84,07
17.02.2023,83
16.02.2023,85,14
15.02.2023,85,38
14.02.2023,85,58
13.02.2023,86,61
10.02.2023,86,39
09.02.2023,84,5
08.02.2023,85,09
07.02.2023,83,69
06.02.2023,80,99
03.02.2023,79,94
02.02.2023,82,17
01.02.2023,82,84
31.01.2023,84,49
30.01.2023,84,9
27.01.2023,86,66
26.01.2023,87,47
25.01.2023,86,12
24.01.2023,86,13
23.01.2023,88,19
20.01.2023,87,63
19.01.2023,86,16
18.01.2023,84,98
17.01.2023,85,92
16.01.2023,84,46
13.01.2023,85,28
12.01.2023,84,03
11.01.2023,82,67
10.01.2023,80,1
09.01.2023,79,65
06.01.2023,78,57
05.01.2023,78,69
04.01.2023,77,84
03.01.2023,82,1
30.12.2022,85,91
29.12.2022,82,26
28.12.2022,83,26
27.12.2022,84,68
23.12.2022,84,5
22.12.2022,81,67
21.12.2022,82,58
20.12.2022,80,53
19.12.2022,80,14
16.12.2022,79,49
15.12.2022,81,32
14.12.2022,82,75
13.12.2022,80,86
12.12.2022,78,34
09.12.2022,76,6
08.12.2022,76,59
07.12.2022,77,59
06.12.2022,79,67
05.12.2022,82,66
02.12.2022,85,55
01.12.2022,86,88
30.11.2022,85,43
29.11.2022,83,03
28.11.2022,83,19
25.11.2022,83,63
24.11.2022,85,34
23.11.2022,85,41
22.11.2022,88,36
21.11.2022,87,45
18.11.2022,87,62
17.11.2022,89,78
16.11.2022,92,86
15.11.2022,93,86
14.11.2022,93,14
11.11.2022,95,99
10.11.2022,93,67
09.11.2022,92,65
08.11.2022,95,36
07.11.2022,97,92
04.11.2022,98,57
03.11.2022,94,67
02.11.2022,96,16
01.11.2022,94,65
31.10.2022,94,83
